Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	mohammed baghdadi is 32 .	Reference	4	1	4	2
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed the city 's rich people supported art , 32 , the ministry of trade .	PBMT-R	1	2	1	1
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one was mohammed baghdadi , 32 , a manager .	Hybrid	3	2	3	2
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed baghdadi , 32 , a manager at the ministry of trade .	EncDecA	4	4	2	4
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	mohammed baghdadi is a manager at the ministry of trade .	DRESS	4	2	4	3
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers were mohammed baghdadi .	S2S-All-FA	3	3	4	3
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed baghdadi , 32 , a manager .	EditNTS	3	3	3	3
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed baghdad , 32 .	Transformer	4	3	4	3
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the teens was manager , ministry of trade , a chemistry professor at the readers .	DMASS	1	1	1	1
One of the readers was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed baghdadi , 32 .	BERT	4	3	4	3
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	mohammed baghdadi is 32 .	Reference	4	1	4	2
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	among the readers on hand was mohammed the city 's rich people supported art , 32 , the ministry of trade .	PBMT-R	1	2	1	1
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	among the readers on hand was mohammed baghdadi , 32 , a manager .	Hybrid	3	3	2	3
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	among the readers on hand was mohammed baghdadi , 32 , a manager at the ministry of trade .	EncDecA	4	4	2	4
